no_sample;AtriUndu;BlepTric;BracRefl;BracRuta;CallHald;CalyAzur;CalyFiss;CalyMuel;CalySuec;CephBicu;CephCate;CephLeuc;CephLunu;DicrDenu;DicrMont;DicrScop;HarpScut;HerzSeli;HypnAndo;HypnCupr;HypnPall;ChilPoly;ChilProf;JungLeia;LepiRept;NoweCurv;ParaLong;PlagPore;PlagCurv;PlagDent;PlagLaet;PlagNemo;PlagSucc;PlatRepe;PolyForm;RhizPunc;RiccLati;RiccPalm;SaniUnci;SyzyAutu;TetrPell;TritExse;;
49;0;0;0;0;0;0;0,1;0;0;15;15;0;1;30;0;0,5;0;0,1;0,5;0;0,1;0;0,1;0;5;5;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0,5;0,5;0;;15
50;0;0,5;0;0;1;0;0;15;0;10;10;0;1;5;0,5;0,1;0,5;5;0,1;0;0,5;0,1;0,5;0;5;10;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;1;0;;19
53;0;0,5;0;0;0;0;0;0;0;5;0;0;0;15;0;0,5;0;5;0;0;0;0;0,1;0;0,5;0,1;0;0;0,1;0,5;0;0;0;0;0;0,1;0;0;0;0;15;0;;12
54;0;0;1;0;0;0;0;0;0;5;0;0;0;30;0;0,5;0;1;0,5;0;1;0;0,5;0;0,5;0;0;0;0,5;0,5;0;0;0;0;0;0,1;0;0;0;0;5;0;;13
55;0;0;0;0;0;0;0;0;0;5;0;0;0;20;0;0,1;0;10;0;0;0,1;0;0,1;0;0,5;0;0;0;0;0,5;0;0;0;0;0;0,1;0;0;0;0,1;5;0;;11
56;0;0,1;0;0;0;0;0;0;0;0,5;0,5;0;0;40;0;0,1;0;0,5;0;0;0;0;0,1;0;1;0;0;0;0,1;0;0;0;0;0;0;0;0,1;0;0;0;0,5;0;;11
58;0;1;0;0;0;0;0;0;0;10;0;0;0,5;5;0,5;1;0;5;0;0;1;0;0,5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;;11
60;0;0;0;0;0;0;0;0;0,1;1;3;0;0,1;1;1;0,5;0;5;0,5;0;50;0;0,1;0,1;3;5;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;1;0;;16
61;0;0;0;0;0;0;0;1;3;0,5;50;1;0;5;3;0,5;0,1;3;0;0,1;0;0;0,1;0;10;3;0;0;0,1;0;0;0;0;0;0;0;1;0;0,1;0;3;0;;18
65;0;0,5;0;0;0;0;0;0;0;10;0,5;0;0,5;40;10;0,5;0,1;0;0,5;0,1;1;0;0;0;3;0,5;0;0;0,1;0;0;0;0;0;0,5;0;0;0;0;0;3;0;;16
66;0;1;0;0;0;0;0;0;0;50;3;0;3;3;5;0,5;0;3;0,5;0;1;0;0;0,5;3;0,5;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;3;0;;15
67;0;1;0;0;1;0;0;0;0,5;30;30;0;0;1;1;0,1;0,1;1;0,1;0;3;0;0;0,5;3;10;0;0;0;0;0;0;0;0;0;0,1;0,5;0;0,1;0;0,5;0;;19
